zipcode,residual_median,residual_sd,intercept,slope,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
33411,-317.8138262,2942.660681,260311.6581,1235.334022,-6048.627146,-5146.613257,-887.2634307,-2752.641035,-4499.441961,-2728.667655,346.841604,5622.188826,7387.08466,5850.331187,2328.074243,528.7339651
33139,1097.274209,9806.955513,449290.1923,288.7298913,9918.171393,5430.479263,-7285.222126,299.4098187,301.305652,-640.9003665,-1495.093654,-8795.267265,-6509.619117,-8232.9837,-239.8934221,17249.61352
90044,-724.7350984,3906.864361,302511.125,3033.715833,-5306.295284,-5790.802228,-5580.193721,-1318.935619,3545.430122,-317.9385127,6731.043258,5475.301939,3127.282841,5225.638744,32.6838831,-5823.215422
44035,-196.0741223,2241.441769,91104.52159,-362.1726993,-2596.718702,-3648.425299,-3229.021364,1322.456645,4672.082803,3523.908034,1040.651669,1360.251206,751.8437982,1643.392409,-2070.267313,-2770.153887
60610,759.7826485,7648.318134,457780.5311,2996.833623,25444.43205,10435.56052,-5121.380449,-17058.89029,-30037.47825,-28139.21436,-17289.6426,-13689.57663,13758.16643,12763.20115,10589.76365,38345.05879
23462,20.77200107,4381.845561,202744.6362,-89.62811594,-2609.106492,107.8200128,1319.422443,570.8978485,2651.69183,3411.984489,4851.132513,1369.934017,-617.4132048,-2728.140635,-2975.309038,-5352.913783
90805,-166.0784385,4415.807844,342953.6987,3106.815217,-10033.84025,932.0468991,3783.871552,2889.212119,3019.87705,-1994.249108,-1739.211781,6670.164955,4736.486135,3567.390649,-6174.555531,-5657.192684
33025,82.61000193,5318.786832,173001.9941,1751.482554,6185.791618,929.815924,-6908.298659,-2440.431182,672.9854842,-5746.65109,-2822.533902,-384.5347704,-272.0634163,4678.789014,2859.113667,3248.017313
48197,-162.320967,3102.811586,177557.1233,1256.225272,-5389.440607,-4169.621163,1974.590643,1438.015411,4473.720851,2914.784757,3795.245736,1410.898513,1263.964486,-1291.245005,-2699.471857,-3721.441765
2169,-705.1855985,7417.39871,328150.4318,3535.000181,-2966.215443,-12061.1298,-7386.367642,893.4292328,8939.469163,3090.302745,1937.301918,4694.847057,69.94080688,1283.615575,4414.678075,-2909.871693
90650,366.7569686,3048.473131,372002.8425,3257.318986,-5769.812524,-3865.164955,-3985.270279,-4228.067154,-2668.30558,-240.545163,7019.769073,8838.219594,1736.960045,3804.477406,645.9982398,-1288.258705
11234,2908.473483,12297.13972,599306.3404,3040.985127,-3713.855427,-6613.200335,107.6816096,-2573.802187,-5947.473483,5123.66954,505.343068,-634.69802,313.7186467,3009.92235,7536.887628,2885.80661
95630,-350.0260417,5558.714752,473873.0405,1613.558986,-6626.62066,-7556.028646,1624.676215,6668.056134,5970.468171,12548.53993,6284.519097,5125.59809,2381.721354,-1755.856771,-15447.60503,-9217.467882
66062,-783.0446015,6391.918642,260609.3524,456.2101449,7091.453166,11274.44275,5716.051546,4138.617518,-3349.37438,-2494.863881,-2055.082135,-3278.121486,-5431.82519,-5436.246486,-3257.737227,-2917.314195
92683,-926.8331887,6804.385476,560417.1452,2821.776993,-10899.57711,-5807.179543,-2058.186487,2795.457031,4248.660735,4986.656105,-102.32364,8193.572193,9678.096499,3408.398582,-4063.847946,-10379.72642
78745,-360.3255484,4792.381114,287906.7968,1062.255145,-379.7242201,3875.821497,847.5622382,2910.650201,32.72948358,-1105.24741,1223.294009,-962.1197641,-1628.247368,-4112.262993,-684.3995674,-18.0561067
19143,-170.483097,1424.469742,62302.15882,439.6467391,-2265.45585,-2992.981891,677.0615114,2090.185065,2409.74525,818.5994165,2179.839289,-310.9159192,-1047.730155,-663.3638358,-980.1259886,85.1431086
85710,808.5761478,2913.180229,136199.825,1062.763025,-2377.29837,-1363.245419,533.1000675,26.16690779,1235.947,2023.041908,3207.901283,1794.717255,-15.53621721,497.2241995,-1629.859134,-3932.159481
60617,-151.1561053,2836.220717,74945.6881,781.5655072,-7489.682436,-4553.154659,583.4807581,729.5056424,1505.374855,4392.296152,7053.152633,3724.572772,1818.669994,303.6526331,-5434.194589,-2633.673756
10314,1274.435089,9003.398733,410695.6741,3217.26788,-8784.855228,-2171.950135,2364.642458,-2661.676987,-1200.475019,2146.823592,9852.23968,9380.834587,8674.931809,6955.133198,-9546.487172,-15009.16078
32210,401.4605035,1734.272286,116549.2865,655.9906884,-132.9153646,-3580.943142,-1541.960503,-357.6861979,2716.605469,2569.178385,4989.251302,3513.692274,-1162.488281,-3869.47092,-2306.811198,-836.4518229
90026,3653.646798,16771.69201,743073.3374,4985.561757,8866.74701,-7871.081115,9018.820795,-3456.088927,10384.11362,-494.1514275,5365.891975,-15460.3233,-5697.735629,-4077.008198,2135.146316,1285.668885
94558,3095.940683,20137.45258,675265.0664,3893.822464,17412.21904,-5588.996238,-26553.40596,-21163.86545,-1247.358507,-6175.136285,1715.951678,-8635.958044,13596.42043,-4474.933738,-2114.343461,43229.40654
